Index,M,T,W,H
0,"66777,66769,66725,66742,66750,66746,16548,16540,16510,16506,16504,16498,16500,16494,15412,15401,15382,15360,15333,15324,15314,15343,16282,16274,16244,16236,15168,14812,14824,14836,14850,14846,14848,14765,14701,14511,14497,14376,14091,nan","66775,66767,66771,66765,66704,66719,66701,66713,66734,66785,66791,66779,66722,16704,16673,16671,16669,16526,16476,15429,15410,15365,15362,26347,26051,26060,26379,26009,16322,16286,16272,16271,15178,14785,14788,14641,14383,14380,14278,14265,14236,14215,14209,14097,14041,nan","66777,66769,66725,66742,66750,66746,16548,16540,16510,16506,16504,16498,16500,16494,15412,15401,15382,15360,15333,15324,15314,15343,16282,16274,16244,16236,15168,14812,14824,14836,14850,14846,14848,14765,14701,14511,14497,14376,14091,nan","66775,66767,66771,66765,66704,66719,66701,66713,66734,66785,66791,66779,66722,16704,16673,16671,16669,16526,16476,15429,15410,15365,15362,26347,26051,26060,26379,26009,16322,16286,16272,16271,15178,14785,14788,14641,14383,14380,14278,14265,14236,14215,14209,14097,14041,nan"
1,"66777,66769,66742,66740,66750,66746,16711,16522,16512,16506,16498,16500,15702,15473,15382,15360,15352,15333,15324,15314,16280,16274,16244,16236,16212,14812,14824,14836,14850,14846,14848,14765,14701,14642,14640,14518,14511,14490,14376,nan","66728,66767,66771,66763,66761,66719,66701,66744,66731,66779,66722,66716,66781,16704,16674,16671,16669,16476,15410,15365,15335,26376,26347,26051,26060,26345,26379,16322,16286,14790,14788,14782,14641,14387,14383,14380,14294,14265,14215,14145,14097,14041,nan","66777,66769,66742,66740,66750,66746,16711,16522,16512,16506,16498,16500,15702,15473,15382,15360,15352,15333,15324,15314,16280,16274,16244,16236,16212,14812,14824,14836,14850,14846,14848,14765,14701,14642,14640,14518,14511,14490,14376,nan","66728,66767,66771,66763,66761,66719,66701,66744,66731,66779,66722,66716,66781,16704,16674,16671,16669,16476,15410,15365,15335,26376,26347,26051,26060,26345,26379,16322,16286,14790,14788,14782,14641,14387,14383,14380,14294,14265,14215,14145,14097,14041,nan"
2,"66777,66740,66750,16711,16522,16512,16504,16498,16500,15702,15473,15401,15360,15352,16280,16274,16236,16212,14812,14824,14836,14850,14846,14848,14765,14701,14642,14640,14518,14490,14376,nan","16674,16669,16476,15410,15335,26376,26347,26051,26060,26345,26375,16226,14785,14790,14788,14782,14387,14383,14380,14373,14294,14215,14121,14145,14097,nan","66777,66740,66750,16711,16522,16512,16504,16498,16500,15702,15473,15401,15360,15352,16280,16274,16236,16212,14812,14824,14836,14850,14846,14848,14765,14701,14642,14640,14518,14490,14376,nan","16674,16669,16476,15410,15335,26376,26347,26051,26060,26345,26375,16226,14785,14790,14788,14782,14387,14383,14380,14373,14294,14215,14121,14145,14097,nan"
3,"16709,16696,16545,16522,15473,15401,15352,16236,15097,15106,15092,15100,15098,14784,14723,14726,14642,14513,14518,14490,14092,nan","16674,16669,15477,15370,15335,15305,26376,26347,26345,26346,26375,16226,15172,14785,14790,14788,14782,14383,14382,14373,14278,14224,14121,14145,nan","16709,16696,16545,16522,15473,15401,15352,16236,15097,15106,15092,15100,15098,14784,14723,14726,14642,14513,14518,14490,14092,nan","16674,16669,15477,15370,15335,15305,26376,26347,26345,26346,26375,16226,15172,14785,14790,14788,14782,14383,14382,14373,14278,14224,14121,14145,nan"
4,"16696,16545,16474,16508,15097,15106,15092,15100,15098,14784,14723,14726,14515,14513,14490,14248,14120,14092,nan","16526,15477,15370,15365,15335,15325,15305,26376,26345,26346,26375,26004,16226,15095,14785,14790,14782,14643,14485,14382,14373,14286,14278,14224,14121,14145,14144,nan","16696,16545,16474,16508,15097,15106,15092,15100,15098,14784,14723,14726,14515,14513,14490,14248,14120,14092,nan","16526,15477,15370,15365,15335,15325,15305,26376,26345,26346,26375,26004,16226,15095,14785,14790,14782,14643,14485,14382,14373,14286,14278,14224,14121,14145,14144,nan"
5,"66769,66736,16708,16696,16675,16514,16474,16508,15431,16276,15180,14784,14770,14723,14726,14513,14392,14389,14377,14248,14120,14092,nan","16704,16526,15365,15325,15305,26346,26375,26004,26307,16288,16272,16226,15095,14903,14643,14485,14382,14286,14224,14209,14144,14041,nan","66769,66736,16708,16696,16675,16514,16474,16508,15431,16276,15180,14784,14770,14723,14726,14513,14392,14389,14377,14248,14120,14092,nan","16704,16526,15365,15325,15305,26346,26375,26004,26307,16288,16272,16226,15095,14903,14643,14485,14382,14286,14224,14209,14144,14041,nan"
6,"66769,66736,66746,16708,16675,16534,16514,16474,16508,15431,15367,15326,16276,16230,15180,14770,14723,14726,14738,14668,14675,14681,14512,14392,14389,14381,14377,14248,14120,nan","16716,15325,15305,26051,26060,26346,26004,26307,16288,16275,16272,15095,14903,14643,14390,14382,14286,14209,14144,14041,nan","66769,66736,66746,16708,16675,16534,16514,16474,16508,15431,15367,15326,16276,16230,15180,14770,14723,14726,14738,14668,14675,14681,14512,14392,14389,14381,14377,14248,14120,nan","16716,15325,15305,26051,26060,26346,26004,26307,16288,16275,16272,15095,14903,14643,14390,14382,14286,14209,14144,14041,nan"
7,"16708,16675,16542,16514,16474,15382,15367,15360,15324,15326,16301,16230,16220,15066,14902,14765,14770,14738,14668,14656,14675,14681,14646,14512,14415,14381,14377,14374,14120,nan","16716,15337,15325,26008,26000,26004,26307,16288,16275,16271,15062,14903,14666,14390,14144,nan","16708,16675,16542,16514,16474,15382,15367,15360,15324,15326,16301,16230,16220,15066,14902,14765,14770,14738,14668,14656,14675,14681,14646,14512,14415,14381,14377,14374,14120,nan","16716,15337,15325,26008,26000,26004,26307,16288,16275,16271,15062,14903,14666,14390,14144,nan"
8,"16672,16542,16472,15406,15372,15367,15324,16301,16230,16220,15061,15054,15066,14902,14738,14668,14656,14675,14681,14650,14646,14512,14415,14393,14381,14377,14374,14279,nan","16716,16692,16470,15400,15337,26008,26000,26009,26307,16286,15062,14903,14654,14666,14390,nan","16672,16542,16472,15406,15372,15367,15324,16301,16230,16220,15061,15054,15066,14902,14738,14668,14656,14675,14681,14650,14646,14512,14415,14393,14381,14377,14374,14279,nan","16716,16692,16470,15400,15337,26008,26000,26009,26307,16286,15062,14903,14654,14666,14390,nan"
9,"16701,16672,16542,16472,15406,15372,16307,16301,16230,15061,15054,14902,14900,14738,14668,14656,14681,14650,14646,14415,14381,14374,14279,nan","16692,16673,16470,15430,15400,15337,26379,26008,26000,26009,15096,15093,14654,14519,14418,14102,nan","16701,16672,16542,16472,15406,15372,16307,16301,16230,15061,15054,14902,14900,14738,14668,14656,14681,14650,14646,14415,14381,14374,14279,nan","16692,16673,16470,15430,15400,15337,26379,26008,26000,26009,15096,15093,14654,14519,14418,14102,nan"
10,"16701,16472,15440,15406,15372,16307,15111,14902,14900,14650,14414,14374,nan","16673,16496,16470,15430,15400,15337,26379,26008,26000,26009,16319,15096,15099,15108,15093,15102,14519,14418,14375,14102,nan","16701,16472,15440,15406,15372,16307,15111,14902,14900,14650,14414,14374,nan","16673,16496,16470,15430,15400,15337,26379,26008,26000,26009,16319,15096,15099,15108,15093,15102,14519,14418,14375,14102,nan"
11,"16701,15440,15380,15372,26349,26377,16307,15227,15094,15111,14900,14414,14386,nan","16673,16496,16470,15430,16319,15177,15096,15099,15108,15093,15102,14889,14912,14896,14921,14673,14418,14378,14375,14293,14042,nan","16701,15440,15380,15372,26349,26377,16307,15227,15094,15111,14900,14414,14386,nan","16673,16496,16470,15430,16319,15177,15096,15099,15108,15093,15102,14889,14912,14896,14921,14673,14418,14378,14375,14293,14042,nan"
